segment;pas;succes;attendu
S014;675;1;0.4111111111111111
S014;676;1;0.5166240409207161
S014;721;0;0.5862619808306709
S014;1043;1;0.7107142857142857
S014;1088;1;0.7751256281407035
S014;1089;1;0.7751256281407035
S014;1161;1;0.799367088607595
S014;1162;0;0.799367088607595
S014;1193;1;0.7983870967741935
S014;1194;1;0.7983870967741935
S015;23;0;0.7983870967741935
S015;101;1;0.39921722113502933
S015;120;0;0.2550335570469799
S015;374;1;0.799367088607595
S015;458;1;0.7751256281407035
S015;459;1;0.7751256281407035
S015;714;1;0.7600479904019196
S015;715;1;0.7600479904019196
S015;716;1;0.7600479904019196
S015;717;1;0.7600479904019196
S015;994;1;0.7983870967741935
S015;995;1;0.7983870967741935
S016;416;1;0.7961011591148578
S016;417;1;0.7961011591148578
S016;541;0;0.24707846410684475
S016;542;0;0.5025075225677031
S016;614;1;0.7940379403794038
S016;776;1;0.4111111111111111
S016;926;1;0.6260229132569558
S016;973;1;0.6631376323387873
S016;974;0;0.799367088607595
S016;1186;1;0.4691358024691358
S016;1420;0;0.7600479904019196
S017;37;1;0.7107142857142857
S017;531;1;0.6631376323387873
S017;532;1;0.799367088607595
S017;533;1;0.799367088607595
S017;597;1;0.5091649694501018
S017;598;1;0.5091649694501018
S017;678;1;0.7296996662958843
S017;691;1;0.21744186046511627
S017;836;1;0.7600479904019196
S017;837;1;0.7600479904019196
S017;838;1;0.7600479904019196
S017;1132;1;0.7107142857142857
S017;1133;1;0.7600479904019196
S017;1218;1;0.7107142857142857
S017;1369;1;0.7600479904019196
S017;1370;1;0.7600479904019196
S018;129;1;0.7940379403794038
S018;130;1;0.7940379403794038
S018;452;0;0.7751256281407035
S018;953;1;0.6685057471264367
S018;1120;1;0.7751256281407035
S018;1379;1;0.4186746987951807
S018;1380;0;0.7107142857142857
S018;1381;0;0.7600479904019196
S018;1382;0;0.7600479904019196
S019;25;1;0.7107142857142857
S019;54;1;0.7961011591148578
S019;90;0;0.7600479904019196
S019;702;1;0.7296996662958843
S019;754;1;0.5973377703826955
S019;755;1;0.7296996662958843
S019;992;1;0.7940379403794038
S019;1085;1;0.7107142857142857
S020;130;1;0.7983870967741935
S020;131;1;0.7983870967741935
S020;150;0;0.5091649694501018
S020;221;1;0.7600479904019196
S020;399;1;0.23130841121495327
S020;466;1;0.7961011591148578
S020;467;1;0.7961011591148578
S020;705;1;0.5973377703826955
S020;718;1;0.272
S020;822;1;0.3990461049284579
S020;823;1;0.5095541401273885
S020;987;1;0.6815789473684211
S020;1081;0;0.7600479904019196
S021;17;1;0.488
S021;18;1;0.5655172413793104
S021;185;1;0.7961011591148578
